# ACT PA4 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 150 GHz error on response from bootstrap
#col3: 220 GHz response
#col4: 220 GHz error on response from bootstrap
215.01 -0.0018 0.0029 1.0 0.0246
216.93 -0.0024 0.0024 0.9983 0.0243
218.85 -0.0039 0.0025 0.9808 0.0233
220.77 -0.0029 0.0024 0.9491 0.0232
222.69 -0.0034 0.0027 0.9198 0.0229
224.61 -0.0024 0.0025 0.91 0.0229
226.53 -0.0036 0.0023 0.9037 0.0232
228.45 -0.0028 0.0022 0.8911 0.0238
230.37 -0.0014 0.0021 0.8798 0.0235
232.29 -0.0021 0.0025 0.8626 0.0229
234.21 -0.0043 0.0022 0.8504 0.0227
236.13 -0.002 0.002 0.8498 0.0225
238.05 -0.0003 0.0023 0.8399 0.0227
239.97 -0.0004 0.0021 0.8298 0.0229
241.89 -0.0024 0.002 0.8123 0.0221
243.81 0.0 0.0019 0.7797 0.0217
245.73 0.0011 0.0022 0.7436 0.0212
247.65 -0.0012 0.002 0.7103 0.0211
249.57 -0.0019 0.002 0.6756 0.0197
251.49 0.0006 0.0022 0.6436 0.0196
253.41 0.0023 0.0022 0.6109 0.0192
255.33 0.004 0.0022 0.5967 0.0185
257.25 0.0045 0.0023 0.585 0.0184
259.17 0.0035 0.0022 0.553 0.0186
261.09 0.0035 0.0022 0.5087 0.0185
263.01 0.0046 0.0023 0.4481 0.0186
264.93 0.0071 0.0021 0.3764 0.0183
266.85 0.0076 0.0021 0.2845 0.0153
268.77 0.0066 0.0018 0.1894 0.0119
270.69 0.0088 0.0022 0.1262 0.0089
272.61 0.0086 0.0024 0.088 0.0072
274.53 0.0073 0.002 0.0742 0.0067
276.45 0.0064 0.0019 0.0672 0.0064
278.37 0.007 0.002 0.0511 0.0056
280.29 0.0068 0.0018 0.0402 0.0052
282.2 0.0048 0.0017 0.0279 0.0044
284.12 0.0035 0.0018 0.0114 0.0035
286.04 0.0033 0.0019 0.0036 0.003
287.96 0.0032 0.0019 -0.0011 0.0027
289.88 0.0034 0.002 -0.0054 0.0025
291.8 0.0046 0.0021 -0.0047 0.0024
293.72 0.0059 0.0022 -0.0016 0.0025
295.64 0.0058 0.0021 -0.0029 0.0022
297.56 0.006 0.002 -0.0061 0.0025
299.48 0.0064 0.0019 -0.0065 0.0024
301.4 0.0059 0.0019 -0.0052 0.0024
