# ACT PA4 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#220 GHz bandwidht / band center table
#col0: channel
#col1: band center
#col2: band width
1637.0 213.71 76.16
1639.0 215.91 75.74
1702.0 219.1 73.14
263.0 221.27 69.55
517.0 224.21 70.36
519.0 222.59 76.27
549.0 221.72 83.24
550.0 223.54 82.89
551.0 224.95 81.91
582.0 229.86 68.32
614.0 232.85 63.46
773.0 223.98 77.96
775.0 220.33 73.57
805.0 221.82 77.52
806.0 231.17 74.76
807.0 224.69 80.96
838.0 225.64 73.91
839.0 221.51 71.87
870.0 224.32 71.77
1029.0 221.23 75.05
1031.0 213.84 66.31
1061.0 220.52 77.27
1062.0 225.04 79.67
1063.0 228.38 74.95
1093.0 231.5 66.74
1094.0 221.42 75.33
1095.0 219.71 72.22
1125.0 219.28 76.37
1127.0 219.75 76.91
1317.0 219.31 76.27
1319.0 243.96 58.24
1349.0 228.28 73.69
1350.0 216.96 72.04
1381.0 219.07 71.91
1382.0 217.68 74.68
1383.0 217.73 76.73
1541.0 213.25 57.67
1605.0 225.7 76.1
1637.0 214.46 73.13
1639.0 215.73 76.85
1702.0 220.54 69.71
1862.0 206.04 49.22
263.0 221.27 69.55
517.0 224.21 70.36
519.0 222.59 76.27
549.0 221.72 83.24
550.0 223.54 82.89
551.0 224.95 81.91
582.0 229.86 68.32
614.0 232.85 63.46
773.0 223.98 77.96
775.0 220.33 73.57
805.0 221.82 77.52
806.0 231.17 74.76
807.0 224.69 80.96
838.0 225.64 73.91
839.0 221.51 71.87
870.0 224.32 71.77
1029.0 221.23 75.05
1031.0 213.84 66.31
1061.0 220.52 77.27
1062.0 225.04 79.67
1063.0 228.38 74.95
1093.0 231.5 66.74
1094.0 221.42 75.33
1095.0 219.71 72.22
1125.0 219.28 76.37
1127.0 219.75 76.91
1317.0 219.31 76.27
1319.0 243.96 58.24
1349.0 228.28 73.69
1350.0 216.96 72.04
1381.0 219.07 71.91
1382.0 217.68 74.68
1383.0 217.73 76.73
1541.0 213.25 57.67
1605.0 225.7 76.1
1637.0 214.46 73.13
1639.0 215.73 76.85
1702.0 220.54 69.71
1862.0 206.04 49.22
741.0 223.73 71.57
743.0 223.54 75.27
933.0 241.45 39.77
965.0 223.61 74.86
966.0 220.06 75.31
997.0 223.05 74.63
1030.0 220.3 72.63
1062.0 219.11 75.09
1221.0 219.43 73.48
1222.0 215.85 72.06
1223.0 221.66 82.84
1254.0 227.14 70.23
1255.0 227.8 76.44
1287.0 228.19 75.11
1317.0 221.69 68.92
1318.0 218.32 74.35
1319.0 219.3 75.62
1477.0 213.7 69.62
1479.0 223.73 78.39
1509.0 222.55 79.81
1511.0 230.23 70.31
1541.0 219.71 65.5
1573.0 216.74 76.91
1574.0 218.11 73.09
1575.0 217.15 73.4
1607.0 218.4 63.0
1733.0 211.75 54.79
1797.0 221.81 55.33
1799.0 221.51 78.39
1829.0 215.79 74.27
1831.0 215.65 71.75
1894.0 217.7 73.62
121.0 229.92 72.59
186.0 218.64 80.06
345.0 219.3 86.09
377.0 224.1 75.93
442.0 224.95 75.82
580.0 219.09 74.16
664.0 223.94 78.81
696.0 219.55 81.13
771.0 211.66 78.37
835.0 224.59 73.85
836.0 219.37 68.24
952.0 217.88 78.58
953.0 222.3 77.95
1027.0 218.35 73.24
1059.0 207.05 83.16
1091.0 223.26 79.56
1092.0 218.21 73.56
1156.0 228.2 70.5
1177.0 219.26 81.37
1209.0 218.72 86.18
1283.0 219.24 75.7
1315.0 216.77 82.84
1348.0 215.41 83.79
1412.0 218.52 77.7
1476.0 223.33 75.96
1540.0 227.18 77.63
1572.0 216.79 80.02
1604.0 232.4 61.08
345.0 222.99 66.44
377.0 226.9 67.51
442.0 223.48 73.54
515.0 214.7 32.29
696.0 222.26 74.81
771.0 210.44 76.78
835.0 223.4 71.77
836.0 216.37 71.1
900.0 230.49 61.41
952.0 219.98 75.18
953.0 221.66 73.58
1027.0 212.02 78.2
1091.0 226.49 68.07
1092.0 216.48 75.59
1156.0 228.52 72.4
1283.0 214.67 80.05
1348.0 217.07 74.16
1412.0 221.96 73.05
1476.0 222.44 76.06
1540.0 229.65 73.2
1604.0 228.05 69.14
1219.0 242.45 39.4
837.0 229.06 57.45
869.0 223.08 76.96
902.0 224.66 77.92
903.0 227.27 71.99
934.0 223.0 79.41
1157.0 223.18 73.66
1158.0 225.03 72.16
1159.0 224.23 77.5
1189.0 222.19 78.71
1190.0 221.63 79.22
1191.0 223.48 76.71
1414.0 221.5 66.92
1415.0 219.68 76.54
1445.0 219.79 79.27
1446.0 220.7 77.84
1447.0 220.21 77.61
1478.0 225.31 77.42
1510.0 220.53 78.56
1669.0 220.03 63.9
1671.0 211.6 65.29
1701.0 217.02 78.65
1703.0 217.19 78.58
1734.0 220.95 81.24
1735.0 223.13 40.98
1766.0 216.77 76.86
1767.0 219.11 77.24
1957.0 210.79 76.1
2022.0 213.48 71.08
849.0 218.05 75.94
880.0 215.85 71.35
881.0 214.96 69.0
944.0 223.97 69.87
1232.0 216.94 75.6
