# ACT PA5 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#90 GHz bandwidht / band center table
#col0: channel
#col1: band center
#col2: band width
84.0 93.72 26.53
1138.0 93.79 23.09
1170.0 93.95 21.88
1268.0 94.52 22.25
229.0 94.19 24.77
451.0 96.22 28.54
452.0 98.53 21.35
485.0 96.36 26.8
516.0 93.57 24.2
708.0 97.22 26.04
709.0 97.08 18.9
739.0 95.78 30.55
772.0 94.6 25.63
773.0 94.55 26.25
804.0 95.51 23.23
1027.0 96.48 20.22
1355.0 96.05 19.84
1571.0 94.94 18.42
1667.0 96.07 26.14
1699.0 95.62 26.61
196.0 94.09 23.57
229.0 95.2 25.35
451.0 96.29 23.42
452.0 95.87 24.07
453.0 98.08 19.21
485.0 97.05 23.41
516.0 93.42 26.8
582.0 85.96 14.03
707.0 96.1 25.34
708.0 96.03 29.15
709.0 97.27 18.1
739.0 94.19 28.75
740.0 96.8 18.91
772.0 94.84 28.48
773.0 93.83 24.36
804.0 95.36 23.23
997.0 98.21 23.09
1027.0 95.23 23.87
1355.0 94.2 25.49
1571.0 95.95 24.11
1667.0 96.38 23.16
1699.0 94.3 27.11
84.0 96.45 26.74
181.0 95.36 23.91
214.0 94.68 25.81
246.0 96.02 25.67
437.0 94.02 24.82
470.0 96.58 20.88
758.0 94.77 23.26
995.0 95.78 28.45
1283.0 95.15 25.27
1315.0 96.17 24.3
1411.0 93.78 23.67
2.0 96.99 24.01
5.0 95.73 24.82
36.0 95.46 28.95
37.0 96.56 22.56
193.0 98.59 12.55
195.0 95.1 23.44
224.0 94.59 25.36
258.0 94.29 25.05
260.0 97.37 21.09
261.0 96.24 26.3
290.0 95.31 26.28
293.0 96.21 27.79
460.0 93.05 10.62
516.0 100.25 21.55
549.0 97.52 19.12
777.0 97.69 20.14
1193.0 98.59 21.15
1705.0 96.12 20.71
1707.0 94.96 28.61
1739.0 94.92 25.04
777.0 98.05 17.1
1192.0 96.74 21.22
1193.0 94.65 25.04
1224.0 96.95 20.21
1225.0 98.23 19.62
1608.0 96.01 22.2
1313.0 97.28 19.03
1345.0 98.52 15.63
1376.0 96.6 19.56
1410.0 100.32 13.6
1633.0 99.22 16.16
609.0 95.9 26.9
672.0 97.04 19.35
833.0 94.53 25.73
865.0 95.9 20.89
896.0 96.48 24.88
930.0 96.83 22.65
1153.0 97.1 21.41
1184.0 96.79 23.65
1216.0 97.76 18.53
1218.0 96.13 24.85
1409.0 94.94 21.71
1440.0 96.82 16.27
1442.0 97.65 10.87
1696.0 96.75 5.75
238.0 86.66 12.13
259.0 90.5 23.16
384.0 96.91 21.71
641.0 98.29 19.81
962.0 97.17 18.21
136.0 95.98 23.42
137.0 96.99 27.63
255.0 95.77 25.52
639.0 98.9 22.49
702.0 94.63 26.98
990.0 95.94 19.92
1022.0 98.11 23.29
1023.0 94.95 23.69
1118.0 96.24 24.42
1119.0 94.4 26.57
1439.0 96.57 23.46
1471.0 95.14 23.79
1502.0 96.03 26.43
1503.0 95.32 25.85
1660.0 92.42 24.33
94.0 94.47 27.64
126.0 95.9 23.68
127.0 95.34 25.49
264.0 96.47 20.51
479.0 95.11 23.62
510.0 94.73 26.04
511.0 94.07 25.19
574.0 96.03 18.99
649.0 95.86 24.2
681.0 93.99 25.98
745.0 97.21 19.49
895.0 95.73 26.97
1128.0 95.82 27.31
1129.0 96.01 29.05
1407.0 96.7 25.17
1438.0 96.74 19.19
1686.0 97.66 21.74
1687.0 100.23 19.56
119.0 95.29 20.96
565.0 95.13 28.27
599.0 95.94 20.65
629.0 93.44 28.27
821.0 95.19 27.58
885.0 96.25 27.19
886.0 95.2 24.23
887.0 95.31 26.31
1686.0 95.19 16.89
1687.0 99.69 21.14
21.0 96.53 23.07
55.0 95.05 25.54
119.0 93.35 22.56
309.0 94.31 26.69
342.0 96.7 23.81
374.0 94.33 25.66
375.0 96.24 22.05
466.0 105.08 6.02
630.0 94.6 20.58
1109.0 95.57 24.35
1174.0 98.8 16.91
1430.0 95.31 26.41
