# ACT PA4 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 150 GHz error on response from bootstrap
1.909999999999999920e+00 -4.164325999999999794e+02 4.008500000000000085e+01
3.830000000000000071e+00 3.996280000000000143e+01 2.109189999999999898e+01
5.750000000000000000e+00 1.603771999999999878e+02 2.576470000000000127e+01
7.669999999999999929e+00 1.122485999999999962e+02 1.850939999999999941e+01
9.589999999999999858e+00 6.272109999999999985e+01 9.835699999999999221e+00
1.150999999999999979e+01 3.819519999999999982e+01 6.141899999999999693e+00
1.342999999999999972e+01 2.396150000000000091e+01 4.338499999999999801e+00
1.534999999999999964e+01 1.324660000000000082e+01 2.629000000000000004e+00
1.726999999999999957e+01 1.029250000000000043e+01 1.820899999999999963e+00
1.919000000000000128e+01 6.701299999999999812e+00 1.302799999999999958e+00
2.110999999999999943e+01 5.000899999999999679e+00 1.010399999999999965e+00
2.303000000000000114e+01 3.801000000000000156e+00 8.559999999999999831e-01
2.494999999999999929e+01 2.709700000000000220e+00 6.330999999999999961e-01
2.687000000000000099e+01 1.994899999999999896e+00 3.906999999999999917e-01
2.878999999999999915e+01 1.604700000000000015e+00 2.923999999999999932e-01
3.071000000000000085e+01 1.110300000000000065e+00 2.456000000000000127e-01
3.263000000000000256e+01 1.202499999999999902e+00 2.475999999999999868e-01
3.454999999999999716e+01 8.343000000000000416e-01 2.021000000000000019e-01
3.646999999999999886e+01 7.016999999999999904e-01 1.968000000000000027e-01
3.839000000000000057e+01 6.764999999999999902e-01 1.673999999999999932e-01
4.031000000000000227e+01 4.288000000000000145e-01 1.506000000000000116e-01
4.222999999999999687e+01 3.371000000000000107e-01 1.335000000000000075e-01
4.414999999999999858e+01 1.899000000000000132e-01 1.107999999999999957e-01
4.607000000000000028e+01 2.039999999999999869e-01 1.079999999999999988e-01
4.799000000000000199e+01 1.388000000000000067e-01 9.500000000000000111e-02
4.990999999999999659e+01 1.787999999999999867e-01 8.699999999999999400e-02
5.182999999999999829e+01 1.779000000000000026e-01 7.739999999999999658e-02
5.375000000000000000e+01 2.929999999999999966e-02 6.640000000000000069e-02
5.567000000000000171e+01 1.220000000000000077e-02 5.449999999999999983e-02
5.759000000000000341e+01 5.000000000000000278e-02 5.249999999999999806e-02
5.950999999999999801e+01 1.990000000000000102e-02 4.809999999999999692e-02
6.142999999999999972e+01 2.889999999999999861e-02 4.070000000000000007e-02
6.335000000000000142e+01 6.550000000000000266e-02 4.070000000000000007e-02
6.526999999999999602e+01 7.710000000000000187e-02 3.769999999999999740e-02
6.718999999999999773e+01 1.940000000000000058e-02 3.409999999999999837e-02
6.910999999999999943e+01 4.760000000000000342e-02 3.479999999999999760e-02
7.103000000000000114e+01 4.460000000000000075e-02 2.819999999999999937e-02
7.295000000000000284e+01 3.009999999999999828e-02 2.779999999999999832e-02
7.487000000000000455e+01 2.220000000000000098e-02 2.819999999999999937e-02
7.679000000000000625e+01 -1.500000000000000031e-03 2.429999999999999868e-02
7.870999999999999375e+01 -6.000000000000000125e-03 2.390000000000000110e-02
8.062999999999999545e+01 -1.699999999999999905e-03 2.220000000000000098e-02
8.254999999999999716e+01 5.999999999999999474e-04 2.129999999999999949e-02
8.446999999999999886e+01 -1.100000000000000066e-03 1.880000000000000074e-02
8.639000000000000057e+01 -2.249999999999999917e-02 1.619999999999999912e-02
8.831000000000000227e+01 -1.810000000000000150e-02 1.720000000000000001e-02
9.023000000000000398e+01 -1.399999999999999986e-03 1.559999999999999928e-02
9.215000000000000568e+01 -8.899999999999999925e-03 1.569999999999999868e-02
9.406000000000000227e+01 6.499999999999999702e-03 1.640000000000000138e-02
9.598000000000000398e+01 5.100000000000000366e-03 1.609999999999999973e-02
9.790000000000000568e+01 -3.299999999999999982e-03 1.400000000000000029e-02
9.981999999999999318e+01 1.100000000000000066e-03 1.179999999999999973e-02
1.017399999999999949e+02 -4.499999999999999660e-03 1.260000000000000009e-02
1.036599999999999966e+02 -1.389999999999999916e-02 1.200000000000000025e-02
1.055799999999999983e+02 5.999999999999999474e-04 1.260000000000000009e-02
1.075000000000000000e+02 7.300000000000000065e-03 1.119999999999999989e-02
1.094200000000000017e+02 6.100000000000000387e-03 1.119999999999999989e-02
1.113400000000000034e+02 -8.000000000000000383e-04 1.060000000000000005e-02
1.132600000000000051e+02 -4.899999999999999842e-03 1.009999999999999960e-02
1.151800000000000068e+02 2.599999999999999881e-03 1.119999999999999989e-02
1.170999999999999943e+02 1.030000000000000013e-02 1.239999999999999956e-02
1.190199999999999960e+02 5.700000000000000205e-03 1.230000000000000017e-02
1.209399999999999977e+02 1.060000000000000005e-02 1.179999999999999973e-02
1.228599999999999994e+02 4.789999999999999813e-02 1.260000000000000009e-02
1.247800000000000011e+02 1.434999999999999887e-01 1.430000000000000021e-02
1.267000000000000028e+02 3.023000000000000131e-01 1.590000000000000094e-02
1.286200000000000045e+02 4.316999999999999726e-01 1.629999999999999852e-02
1.305399999999999920e+02 5.201999999999999957e-01 1.480000000000000066e-02
1.324600000000000080e+02 6.209000000000000075e-01 1.640000000000000138e-02
1.343799999999999955e+02 7.200999999999999623e-01 1.679999999999999896e-02
1.363000000000000114e+02 7.911000000000000254e-01 1.510000000000000057e-02
1.382199999999999989e+02 8.605000000000000426e-01 1.519999999999999997e-02
1.401399999999999864e+02 9.478999999999999648e-01 1.269999999999999948e-02
1.420600000000000023e+02 9.872999999999999554e-01 1.179999999999999973e-02
1.439799999999999898e+02 9.930999999999999828e-01 1.280000000000000061e-02
