# ACT PA4 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#150 GHz bandwidth / band center table
#col0: channel
#col1: band center
#col2: band width
1419.0 145.18 38.7
1483.0 147.04 34.03
1515.0 146.37 35.15
1298.0 150.09 29.93
82.0 144.74 37.4
114.0 143.97 36.74
115.0 145.42 37.81
150.0 147.61 34.92
183.0 146.89 34.67
339.0 143.38 34.6
434.0 146.03 36.59
435.0 144.7 38.81
503.0 144.04 34.88
659.0 147.92 30.72
691.0 142.88 37.86
759.0 142.32 38.49
18.0 145.34 37.83
51.0 146.14 35.82
54.0 143.56 40.49
274.0 144.68 38.92
278.0 144.69 38.05
307.0 144.81 36.01
310.0 145.48 38.3
311.0 144.56 38.86
565.0 144.91 38.98
567.0 150.24 30.29
598.0 144.8 38.03
631.0 145.69 36.29
789.0 147.21 33.96
791.0 147.01 35.4
821.0 148.53 33.42
823.0 139.02 41.81
853.0 144.77 36.25
854.0 145.4 38.06
855.0 146.34 35.12
886.0 146.01 34.32
887.0 145.43 37.43
1109.0 145.18 37.68
1111.0 146.37 35.54
1143.0 145.02 35.7
1206.0 145.16 37.22
246.0 144.71 30.49
437.0 145.54 35.71
469.0 144.54 37.86
503.0 143.51 39.05
726.0 145.29 38.41
727.0 148.2 33.06
757.0 146.26 35.67
758.0 147.95 32.79
759.0 145.53 36.69
791.0 144.24 39.01
822.0 143.14 40.36
981.0 145.86 37.38
1013.0 146.75 34.4
1015.0 147.37 33.05
1045.0 140.13 43.12
1046.0 146.97 36.19
1047.0 145.36 37.66
1077.0 144.23 38.62
1078.0 145.41 37.58
1079.0 146.36 35.03
1301.0 147.21 34.73
1303.0 146.14 36.85
1333.0 145.03 38.18
1334.0 146.56 34.99
1366.0 145.32 38.13
1367.0 148.2 31.19
1398.0 144.12 37.88
1559.0 153.62 26.71
1589.0 146.42 34.94
1621.0 145.2 37.26
1622.0 146.66 35.88
1654.0 146.94 34.34
1911.0 155.91 23.61
21.0 147.44 33.87
23.0 145.73 36.47
53.0 146.12 37.04
54.0 146.73 33.29
55.0 148.08 33.52
86.0 145.23 35.05
87.0 148.06 29.86
119.0 144.51 39.15
179.0 143.82 34.36
210.0 146.02 37.09
211.0 146.17 36.91
242.0 144.64 35.42
243.0 147.1 33.66
277.0 151.32 25.76
342.0 145.28 37.01
374.0 145.98 36.48
375.0 145.6 37.23
498.0 142.93 35.91
499.0 151.11 19.98
530.0 147.23 35.68
562.0 154.58 22.88
597.0 147.04 34.64
694.0 147.32 34.86
786.0 144.57 38.92
819.0 145.5 32.26
1547.0 142.69 38.54
139.0 144.33 38.6
651.0 143.97 35.74
971.0 144.8 39.51
1003.0 144.65 39.18
1227.0 145.04 37.61
1.0 144.3 40.1
30.0 144.73 37.83
33.0 144.19 40.04
62.0 141.94 41.73
65.0 148.92 32.7
96.0 144.06 40.39
350.0 145.46 37.84
351.0 144.66 39.4
382.0 143.32 39.7
383.0 144.49 35.48
414.0 144.46 39.48
415.0 144.1 40.08
735.0 145.56 34.82
798.0 145.2 38.13
799.0 145.65 37.65
862.0 146.34 36.09
863.0 143.04 41.23
894.0 143.41 40.29
1183.0 141.41 42.83
1246.0 146.45 36.83
1247.0 144.09 39.7
1278.0 143.35 37.39
1310.0 143.06 40.06
139.0 144.95 37.17
651.0 143.12 39.17
971.0 144.94 38.95
1003.0 144.71 39.14
1227.0 144.51 38.63
1278.0 129.07 37.32
