# ACT PA2 Bandpass Data — from Rahul Datta (average over 75 individual detector bandpasses measured for PA2)
# Truncated by JCH using criteria in 'passbands' notebook 1/27/19
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 1-sigma error
#nu(GHz)       fnu	fnu_err
1.149899999999999949e+02 1.942299999999999929e-02 4.227299999999999808e-02
1.154899999999999949e+02 2.795900000000000121e-02 3.056400000000000089e-02
1.159899999999999949e+02 2.477700000000000041e-02 3.564900000000000013e-02
1.164899999999999949e+02 2.123699999999999893e-02 3.458900000000000169e-02
1.169899999999999949e+02 2.209699999999999859e-02 3.817199999999999760e-02
1.174899999999999949e+02 1.906599999999999961e-02 3.682300000000000156e-02
1.179899999999999949e+02 2.337399999999999894e-02 4.027300000000000324e-02
1.184899999999999949e+02 3.789399999999999713e-02 4.866800000000000292e-02
1.189899999999999949e+02 5.754100000000000187e-02 6.754200000000000481e-02
1.194899999999999949e+02 7.458800000000000152e-02 8.175100000000000422e-02
1.199899999999999949e+02 9.385000000000000286e-02 9.427000000000000657e-02
1.204899999999999949e+02 1.452100000000000057e-01 1.306599999999999984e-01
1.209899999999999949e+02 1.880699999999999872e-01 1.468299999999999883e-01
1.214899999999999949e+02 1.982500000000000095e-01 1.355300000000000116e-01
1.219899999999999949e+02 2.199200000000000044e-01 1.232300000000000062e-01
1.224899999999999949e+02 2.682599999999999985e-01 1.245900000000000063e-01
1.229899999999999949e+02 3.223199999999999954e-01 1.248400000000000065e-01
1.234899999999999949e+02 3.349900000000000100e-01 1.110600000000000059e-01
1.239899999999999949e+02 3.482799999999999785e-01 9.281399999999999373e-02
1.244899999999999949e+02 4.394100000000000228e-01 9.958500000000000685e-02
1.249899999999999949e+02 5.247699999999999587e-01 1.071799999999999975e-01
1.254899999999999949e+02 5.150500000000000078e-01 9.031100000000000239e-02
1.259899999999999949e+02 5.130400000000000515e-01 8.195099999999999607e-02
1.264899999999999949e+02 5.761300000000000310e-01 8.806700000000000639e-02
1.269899999999999949e+02 5.902199999999999669e-01 8.097799999999999443e-02
1.274899999999999949e+02 5.289099999999999913e-01 7.200299999999999756e-02
1.279899999999999949e+02 4.902199999999999891e-01 6.606499999999999873e-02
1.284900000000000091e+02 5.196499999999999453e-01 6.722200000000000397e-02
1.289900000000000091e+02 5.230099999999999749e-01 7.093599999999999905e-02
1.294900000000000091e+02 4.744099999999999984e-01 6.589000000000000412e-02
1.299900000000000091e+02 4.771500000000000186e-01 6.794699999999999351e-02
1.304900000000000091e+02 5.542000000000000259e-01 8.598799999999999499e-02
1.309900000000000091e+02 5.947500000000000009e-01 8.632700000000000096e-02
1.314900000000000091e+02 5.638800000000000479e-01 7.692100000000000326e-02
1.319900000000000091e+02 5.657600000000000406e-01 7.716800000000000048e-02
1.324900000000000091e+02 6.395499999999999519e-01 9.528100000000000458e-02
1.329900000000000091e+02 6.466600000000000126e-01 9.682499999999999440e-02
1.334900000000000091e+02 5.652700000000000502e-01 8.184099999999999708e-02
1.339900000000000091e+02 5.480800000000000116e-01 8.711299999999999599e-02
1.344900000000000091e+02 5.961100000000000287e-01 1.034299999999999942e-01
1.349900000000000091e+02 6.011699999999999822e-01 9.454600000000000504e-02
1.354900000000000091e+02 5.640399999999999858e-01 8.263900000000000412e-02
1.359900000000000091e+02 6.013199999999999656e-01 8.186599999999999433e-02
1.364900000000000091e+02 7.196799999999999864e-01 9.802700000000000302e-02
1.369900000000000091e+02 7.668899999999999606e-01 9.605800000000000449e-02
1.374900000000000091e+02 7.009499999999999620e-01 8.108700000000000629e-02
1.379900000000000091e+02 7.153800000000000159e-01 7.739699999999999358e-02
1.384900000000000091e+02 7.849000000000000421e-01 8.285099999999999409e-02
1.389900000000000091e+02 7.337799999999999878e-01 7.212200000000000555e-02
1.394900000000000091e+02 6.283800000000000496e-01 6.714699999999999835e-02
1.399900000000000091e+02 6.211600000000000454e-01 7.994199999999999917e-02
1.404900000000000091e+02 6.853599999999999692e-01 1.024599999999999955e-01
1.409799999999999898e+02 6.930300000000000349e-01 1.125499999999999973e-01
1.414799999999999898e+02 6.648399999999999865e-01 9.743300000000000571e-02
1.419799999999999898e+02 7.343800000000000328e-01 9.151800000000000213e-02
1.424799999999999898e+02 8.455099999999999838e-01 9.385100000000000386e-02
1.429799999999999898e+02 8.218199999999999950e-01 8.910400000000000265e-02
1.434799999999999898e+02 7.463899999999999979e-01 7.932899999999999674e-02
1.439799999999999898e+02 7.760299999999999976e-01 7.587199999999999500e-02
1.444799999999999898e+02 8.383899999999999686e-01 7.174600000000000422e-02
1.449799999999999898e+02 7.855400000000000160e-01 6.018500000000000238e-02
1.454799999999999898e+02 7.093399999999999705e-01 5.865200000000000274e-02
1.459799999999999898e+02 7.607000000000000428e-01 6.067899999999999683e-02
1.464799999999999898e+02 8.505700000000000482e-01 6.336899999999999478e-02
1.469799999999999898e+02 8.288499999999999757e-01 5.987499999999999767e-02
1.474799999999999898e+02 7.964200000000000168e-01 5.191300000000000081e-02
1.479799999999999898e+02 8.902099999999999458e-01 5.480299999999999755e-02
1.484799999999999898e+02 9.864100000000000090e-01 6.251600000000000212e-02
1.489799999999999898e+02 9.380600000000000049e-01 5.184600000000000319e-02
1.494799999999999898e+02 8.551199999999999912e-01 5.178800000000000070e-02
1.499799999999999898e+02 9.011400000000000521e-01 6.492299999999999460e-02
1.504799999999999898e+02 9.475799999999999779e-01 5.969900000000000206e-02
1.509799999999999898e+02 8.464199999999999502e-01 5.716399999999999954e-02
1.514799999999999898e+02 7.650299999999999878e-01 5.365199999999999830e-02
1.519799999999999898e+02 8.337099999999999511e-01 6.167700000000000266e-02
1.524799999999999898e+02 9.015199999999999880e-01 6.565100000000000102e-02
1.529799999999999898e+02 8.550799999999999512e-01 6.053800000000000153e-02
1.534799999999999898e+02 8.280100000000000238e-01 5.546700000000000241e-02
1.539799999999999898e+02 9.303900000000000503e-01 5.525900000000000256e-02
1.544799999999999898e+02 1.000000000000000000e+00 5.611300000000000315e-02
1.549799999999999898e+02 9.033200000000000118e-01 5.828799999999999953e-02
1.554799999999999898e+02 8.136400000000000299e-01 6.097000000000000336e-02
1.559799999999999898e+02 8.402100000000000124e-01 7.091500000000000581e-02
1.564799999999999898e+02 8.279699999999999838e-01 7.240900000000000114e-02
1.569799999999999898e+02 7.266700000000000381e-01 7.009400000000000353e-02
1.574799999999999898e+02 6.838100000000000289e-01 6.958899999999999808e-02
1.579799999999999898e+02 7.698300000000000143e-01 8.451400000000000579e-02
1.584799999999999898e+02 8.332000000000000517e-01 9.513299999999999534e-02
1.589799999999999898e+02 7.809800000000000075e-01 9.057300000000000073e-02
1.594799999999999898e+02 7.674299999999999455e-01 8.469999999999999751e-02
1.599799999999999898e+02 8.401999999999999469e-01 8.694699999999999651e-02
1.604799999999999898e+02 8.225900000000000434e-01 9.275300000000000211e-02
1.609799999999999898e+02 6.981500000000000483e-01 8.331199999999999717e-02
1.614799999999999898e+02 6.409500000000000197e-01 7.914000000000000201e-02
1.619799999999999898e+02 6.733099999999999641e-01 8.944000000000000561e-02
1.624799999999999898e+02 6.659699999999999509e-01 9.181100000000000372e-02
1.629799999999999898e+02 5.858299999999999619e-01 8.466799999999999327e-02
1.634799999999999898e+02 5.745999999999999996e-01 8.339199999999999391e-02
1.639799999999999898e+02 6.529199999999999449e-01 8.348099999999999965e-02
1.644799999999999898e+02 6.643799999999999706e-01 8.421599999999999919e-02
1.649799999999999898e+02 5.984399999999999720e-01 7.585699999999999388e-02
1.654799999999999898e+02 5.887400000000000411e-01 7.212999999999999967e-02
1.659799999999999898e+02 6.345199999999999729e-01 8.494999999999999774e-02
1.664799999999999898e+02 6.131299999999999528e-01 8.666999999999999704e-02
1.669799999999999898e+02 5.282599999999999518e-01 7.894400000000000028e-02
1.674799999999999898e+02 5.039799999999999836e-01 8.315400000000000569e-02
1.679799999999999898e+02 5.360899999999999554e-01 9.480199999999999738e-02
1.684799999999999898e+02 5.105199999999999738e-01 1.001500000000000029e-01
1.689799999999999898e+02 4.466200000000000170e-01 9.493000000000000049e-02
1.694799999999999898e+02 4.456200000000000161e-01 9.940999999999999837e-02
1.699799999999999898e+02 4.836300000000000043e-01 1.202499999999999958e-01
1.704799999999999898e+02 4.636000000000000121e-01 1.238800000000000040e-01
1.709799999999999898e+02 4.026000000000000134e-01 1.102899999999999991e-01
1.714799999999999898e+02 3.965899999999999981e-01 1.164099999999999996e-01
1.719799999999999898e+02 4.161099999999999799e-01 1.309899999999999953e-01
1.724799999999999898e+02 3.625399999999999734e-01 1.246199999999999947e-01
1.729799999999999898e+02 2.850099999999999856e-01 1.023899999999999949e-01
1.734799999999999898e+02 2.606399999999999828e-01 9.462900000000000478e-02
1.739799999999999898e+02 2.524700000000000277e-01 9.987699999999999356e-02
1.744799999999999898e+02 2.195999999999999897e-01 9.352299999999999502e-02
1.749799999999999898e+02 1.832100000000000117e-01 8.100799999999999668e-02
1.754799999999999898e+02 1.751600000000000101e-01 7.985000000000000431e-02
1.759799999999999898e+02 1.782799999999999940e-01 7.420799999999999619e-02
1.764799999999999898e+02 1.522199999999999942e-01 6.623600000000000321e-02
1.769799999999999898e+02 1.198400000000000021e-01 5.831000000000000072e-02
1.774799999999999898e+02 1.139799999999999980e-01 5.738399999999999751e-02
1.779799999999999898e+02 1.014899999999999969e-01 5.283899999999999708e-02
1.784799999999999898e+02 7.414800000000000557e-02 3.815299999999999941e-02
1.789799999999999898e+02 5.587199999999999805e-02 2.900200000000000000e-02
1.794799999999999898e+02 4.795399999999999663e-02 3.204100000000000004e-02
1.799799999999999898e+02 4.240000000000000019e-02 3.413299999999999668e-02
1.804799999999999898e+02 3.383200000000000096e-02 2.510300000000000031e-02
1.809799999999999898e+02 2.314199999999999938e-02 1.570200000000000068e-02
1.814799999999999898e+02 1.912099999999999911e-02 1.440999999999999920e-02
1.819799999999999898e+02 2.069000000000000006e-02 1.712199999999999833e-02
1.824799999999999898e+02 1.945699999999999860e-02 1.305800000000000016e-02
1.829799999999999898e+02 1.631300000000000111e-02 1.329999999999999932e-02
1.834799999999999898e+02 1.380299999999999930e-02 1.661899999999999836e-02
1.839799999999999898e+02 1.186300000000000028e-02 1.641199999999999951e-02
1.844799999999999898e+02 8.449599999999999819e-03 1.061199999999999991e-02
1.849799999999999898e+02 6.739900000000000058e-03 1.256600000000000078e-02
1.854799999999999898e+02 8.494200000000000361e-03 1.598199999999999968e-02
1.859799999999999898e+02 8.922599999999999282e-03 1.503700000000000002e-02
1.864799999999999898e+02 7.370400000000000042e-03 1.494700000000000022e-02
1.869799999999999898e+02 8.107700000000000670e-03 2.006399999999999850e-02
1.874799999999999898e+02 7.562100000000000419e-03 1.635400000000000048e-02
1.879799999999999898e+02 6.125099999999999642e-03 1.474999999999999922e-02
1.884799999999999898e+02 9.797900000000000012e-03 1.402800000000000054e-02
