# ACT PA6 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#90 GHz bandwidth / band center table
#col0: channel
#col1: band center
#col2: band width
130.0 92.01 26.71
149.0 92.28 30.05
246.0 93.59 28.65
321.0 93.56 29.89
353.0 94.3 26.02
384.0 96.68 19.65
385.0 93.63 28.83
386.0 94.79 27.3
577.0 92.5 28.27
640.0 94.43 28.64
641.0 95.02 25.16
896.0 95.75 24.1
898.0 96.95 24.37
677.0 93.95 29.74
933.0 96.37 25.95
1347.0 95.59 24.99
85.0 94.01 27.14
87.0 93.7 20.67
115.0 95.65 20.87
179.0 95.08 27.79
402.0 96.23 12.63
403.0 97.66 14.38
404.0 99.77 15.16
434.0 94.86 27.01
436.0 97.1 21.33
690.0 96.45 22.74
691.0 97.61 20.38
466.0 96.71 22.98
498.0 94.02 29.25
500.0 93.82 30.87
536.0 91.59 16.97
723.0 94.41 28.94
755.0 94.38 24.42
978.0 95.02 26.45
979.0 94.48 23.44
1010.0 94.76 26.82
1042.0 93.61 28.29
1044.0 94.69 25.48
1684.0 93.37 26.59
50.0 94.01 27.49
215.0 97.32 20.43
306.0 93.75 24.07
342.0 93.66 29.77
597.0 96.13 25.53
598.0 94.24 29.48
630.0 95.13 28.06
854.0 98.51 16.41
887.0 95.38 23.94
918.0 95.75 26.21
1141.0 95.37 30.07
1142.0 96.69 24.11
1143.0 97.87 20.74
1174.0 97.31 17.05
1175.0 96.22 30.07
1399.0 95.7 28.44
277.0 93.29 25.15
279.0 94.02 30.84
533.0 94.11 31.51
1027.0 95.92 26.39
1093.0 94.67 30.33
1194.0 95.63 24.96
1205.0 95.08 26.22
1207.0 94.11 28.51
1226.0 95.04 32.91
1237.0 94.2 30.61
1461.0 95.99 26.28
1493.0 94.85 27.34
1495.0 94.71 27.9
1603.0 95.11 24.27
1699.0 98.25 22.65
1719.0 93.57 31.05
1.0 94.71 26.86
2.0 95.58 25.02
33.0 93.86 29.16
66.0 93.63 31.01
257.0 95.0 28.1
289.0 94.4 27.1
375.0 94.32 24.62
512.0 97.31 16.09
578.0 95.42 28.65
866.0 95.34 28.45
1207.0 94.28 31.3
1461.0 95.75 29.23
1632.0 95.48 34.14
485.0 95.57 30.87
832.0 90.79 23.71
1014.0 92.85 15.11
1120.0 92.92 30.27
1154.0 93.92 25.59
1345.0 93.37 27.68
1377.0 93.07 27.26
1378.0 94.61 26.16
1410.0 93.82 27.76
1569.0 94.01 27.14
1664.0 93.42 24.04
1666.0 98.34 11.9
41.0 94.22 27.55
73.0 92.63 27.53
104.0 95.32 24.51
287.0 95.03 24.15
393.0 93.64 24.6
457.0 95.19 25.63
489.0 94.67 28.76
520.0 93.8 26.3
552.0 93.76 29.55
607.0 90.52 27.55
639.0 89.95 27.96
841.0 96.62 22.76
904.0 93.82 26.98
991.0 93.64 30.04
1366.0 96.3 20.76
1623.0 92.34 25.21
95.0 93.5 25.85
511.0 94.45 24.62
544.0 92.24 25.75
575.0 96.85 25.55
927.0 95.99 27.06
1343.0 94.55 27.66
1468.0 92.15 29.92
1532.0 92.53 30.04
