# ACT PA6 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 150 GHz error on response from bootstrap
1.090000000000000080e+00 -1.261328199999999924e+03 1.430762000000000000e+02
2.189999999999999947e+00 1.396766000000000076e+02 1.031554000000000002e+02
3.290000000000000036e+00 4.978910000000000196e+02 1.108132999999999981e+02
4.389999999999999680e+00 4.195020000000000095e+02 8.029850000000000421e+01
5.490000000000000213e+00 3.740459999999999923e+02 1.140955000000000013e+02
6.589999999999999858e+00 2.509364999999999952e+02 9.024349999999999739e+01
7.690000000000000391e+00 1.568118000000000052e+02 5.795600000000000307e+01
8.779999999999999361e+00 9.278579999999999472e+01 3.068440000000000012e+01
9.880000000000000782e+00 5.110300000000000153e+01 1.411940000000000062e+01
1.098000000000000043e+01 2.797579999999999956e+01 6.588199999999999612e+00
1.208000000000000007e+01 1.815790000000000148e+01 3.304199999999999804e+00
1.317999999999999972e+01 1.697350000000000136e+01 3.392300000000000093e+00
1.427999999999999936e+01 1.500760000000000005e+01 4.581999999999999851e+00
1.538000000000000078e+01 1.388560000000000016e+01 4.658299999999999663e+00
1.646999999999999886e+01 1.341539999999999999e+01 3.660299999999999887e+00
1.757000000000000028e+01 9.264300000000000423e+00 2.468999999999999861e+00
1.867000000000000171e+01 5.677500000000000213e+00 1.455600000000000005e+00
1.976999999999999957e+01 4.009999999999999787e+00 1.009400000000000075e+00
2.087000000000000099e+01 3.727300000000000058e+00 8.421999999999999487e-01
2.196999999999999886e+01 4.019800000000000040e+00 8.001000000000000334e-01
2.307000000000000028e+01 3.124800000000000022e+00 7.361999999999999655e-01
2.416000000000000014e+01 2.264100000000000001e+00 7.294000000000000483e-01
2.526000000000000156e+01 2.217999999999999972e+00 7.216000000000000192e-01
2.635999999999999943e+01 2.062699999999999978e+00 5.750999999999999446e-01
2.746000000000000085e+01 1.470800000000000107e+00 4.063999999999999835e-01
2.855999999999999872e+01 8.506000000000000227e-01 3.849000000000000199e-01
2.966000000000000014e+01 1.157299999999999995e+00 4.118999999999999884e-01
3.076000000000000156e+01 1.290399999999999991e+00 4.178000000000000047e-01
3.185000000000000142e+01 1.141799999999999926e+00 3.436000000000000165e-01
