# ACT PA3 150 GHz Bandpass Data — from Rahul Datta (average over 28 individual detector bandpasses measured for PA3 150 GHz)
# Truncated by JCH using criteria in 'passbands' notebook 1/27/19
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 1-sigma error
#nu(GHz)       fnu	fnu_err
1.169899999999999949e+02 6.470900000000000263e-02 7.771500000000000630e-02
1.174899999999999949e+02 2.845400000000000013e-02 4.657800000000000135e-02
1.179899999999999949e+02 1.395000000000000059e-02 4.394699999999999995e-02
1.184899999999999949e+02 3.743200000000000000e-02 4.335599999999999871e-02
1.189899999999999949e+02 5.342600000000000127e-02 6.281200000000000672e-02
1.194899999999999949e+02 4.650399999999999673e-02 4.605499999999999872e-02
1.199899999999999949e+02 4.939000000000000334e-02 4.401399999999999757e-02
1.204899999999999949e+02 3.956400000000000194e-02 5.354199999999999932e-02
1.209899999999999949e+02 3.144899999999999779e-02 4.993600000000000122e-02
1.214899999999999949e+02 3.233400000000000163e-02 4.673399999999999777e-02
1.219899999999999949e+02 5.334200000000000053e-02 5.693200000000000344e-02
1.224899999999999949e+02 6.438900000000000179e-02 5.942200000000000260e-02
1.229899999999999949e+02 4.882000000000000228e-02 4.323699999999999766e-02
1.234899999999999949e+02 5.786299999999999777e-02 5.622900000000000120e-02
1.239899999999999949e+02 9.958799999999999597e-02 7.991399999999999892e-02
1.244899999999999949e+02 1.380099999999999938e-01 1.032200000000000062e-01
1.249899999999999949e+02 1.627200000000000035e-01 1.021999999999999992e-01
1.254899999999999949e+02 1.759100000000000108e-01 1.205900000000000027e-01
1.259899999999999949e+02 1.876500000000000112e-01 1.252900000000000125e-01
1.264899999999999949e+02 2.378800000000000081e-01 1.206600000000000034e-01
1.269899999999999949e+02 2.941900000000000071e-01 1.343100000000000127e-01
1.274899999999999949e+02 3.051900000000000168e-01 1.439300000000000024e-01
1.279899999999999949e+02 3.230899999999999883e-01 1.166299999999999976e-01
1.284900000000000091e+02 3.948200000000000043e-01 1.293600000000000028e-01
1.289900000000000091e+02 4.490199999999999747e-01 1.481800000000000062e-01
1.294900000000000091e+02 4.466999999999999860e-01 1.404100000000000070e-01
1.299900000000000091e+02 4.785200000000000009e-01 1.208999999999999936e-01
1.304900000000000091e+02 5.776000000000000023e-01 1.335899999999999865e-01
1.309900000000000091e+02 6.388200000000000545e-01 1.500499999999999889e-01
1.314900000000000091e+02 6.230400000000000382e-01 1.173300000000000037e-01
1.319900000000000091e+02 6.506800000000000361e-01 9.866400000000000170e-02
1.324900000000000091e+02 7.447599999999999776e-01 1.019400000000000028e-01
1.329900000000000091e+02 7.557399999999999674e-01 9.361999999999999489e-02
1.334900000000000091e+02 6.708199999999999719e-01 7.596899999999999487e-02
1.339900000000000091e+02 6.564499999999999780e-01 8.181499999999999884e-02
1.344900000000000091e+02 7.203500000000000458e-01 9.260899999999999688e-02
1.349900000000000091e+02 7.161999999999999478e-01 9.539999999999999869e-02
1.354900000000000091e+02 6.559199999999999475e-01 8.248900000000000676e-02
1.359900000000000091e+02 6.887799999999999478e-01 7.598000000000000587e-02
1.364900000000000091e+02 8.175099999999999589e-01 7.489899999999999336e-02
1.369900000000000091e+02 8.655100000000000016e-01 7.905800000000000327e-02
