# ACT PA4 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#col0: frequency [GHz]
#col1: 220 GHz response
#col2: 220 GHz error on response from bootstrap
1.909999999999999920e+00 -6.262743000000000393e+02 7.918770000000000664e+01
3.830000000000000071e+00 5.347518000000000029e+02 6.610970000000000368e+01
5.750000000000000000e+00 9.551024999999999636e+02 8.195759999999999934e+01
7.669999999999999929e+00 7.371779000000000224e+02 6.380720000000000169e+01
9.589999999999999858e+00 4.478369999999999891e+02 3.830859999999999843e+01
1.150999999999999979e+01 2.746840000000000259e+02 2.719190000000000040e+01
1.342999999999999972e+01 1.765978000000000065e+02 1.856390000000000029e+01
1.534999999999999964e+01 9.035349999999999682e+01 9.059499999999999886e+00
1.726999999999999957e+01 5.436800000000000210e+01 5.207200000000000273e+00
1.919000000000000128e+01 3.261840000000000117e+01 2.768400000000000194e+00
2.110999999999999943e+01 3.197899999999999920e+01 2.877600000000000158e+00
2.303000000000000114e+01 2.169359999999999999e+01 2.262599999999999945e+00
2.494999999999999929e+01 1.650910000000000011e+01 1.630600000000000049e+00
2.687000000000000099e+01 1.350200000000000067e+01 1.269300000000000095e+00
2.878999999999999915e+01 1.166179999999999950e+01 1.034499999999999975e+00
3.071000000000000085e+01 1.013799999999999990e+01 8.628000000000000114e-01
3.263000000000000256e+01 7.746999999999999886e+00 6.673999999999999932e-01
3.454999999999999716e+01 6.725799999999999557e+00 7.007999999999999785e-01
3.646999999999999886e+01 5.333000000000000185e+00 5.675999999999999934e-01
3.839000000000000057e+01 4.168800000000000061e+00 4.807000000000000162e-01
4.031000000000000227e+01 3.315799999999999859e+00 3.825000000000000067e-01
4.222999999999999687e+01 2.752800000000000136e+00 3.038000000000000145e-01
4.414999999999999858e+01 2.186900000000000066e+00 2.371999999999999942e-01
4.607000000000000028e+01 2.292600000000000193e+00 2.570000000000000062e-01
4.799000000000000199e+01 2.027099999999999902e+00 2.396000000000000074e-01
4.990999999999999659e+01 1.919300000000000006e+00 2.033000000000000085e-01
5.182999999999999829e+01 1.556100000000000039e+00 1.716999999999999915e-01
5.375000000000000000e+01 1.114900000000000002e+00 1.310999999999999943e-01
5.567000000000000171e+01 9.765000000000000346e-01 1.275999999999999912e-01
5.759000000000000341e+01 1.070200000000000040e+00 1.308999999999999886e-01
5.950999999999999801e+01 1.004499999999999948e+00 1.213999999999999940e-01
6.142999999999999972e+01 8.249999999999999556e-01 9.639999999999999958e-02
6.335000000000000142e+01 8.043000000000000149e-01 9.969999999999999696e-02
