# ACT PA6 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#col0: frequency [GHz]
#col1: 90 GHz response
#col2: 90 GHz error on response from bootstrap
1.090000000000000080e+00 -1.098717900000000100e+03 1.061394999999999982e+02
2.189999999999999947e+00 -4.393869999999999720e+01 4.147780000000000200e+01
3.290000000000000036e+00 2.355209999999999866e+02 5.343619999999999948e+01
4.389999999999999680e+00 1.946183000000000050e+02 4.837480000000000047e+01
5.490000000000000213e+00 1.002357999999999976e+02 2.982359999999999900e+01
6.589999999999999858e+00 6.361829999999999785e+01 1.727659999999999840e+01
7.690000000000000391e+00 4.373389999999999844e+01 1.248719999999999963e+01
8.779999999999999361e+00 2.948539999999999850e+01 8.977899999999999991e+00
9.880000000000000782e+00 2.293299999999999983e+01 5.959999999999999964e+00
1.098000000000000043e+01 1.530860000000000021e+01 3.925499999999999989e+00
1.208000000000000007e+01 1.226389999999999958e+01 3.176400000000000112e+00
1.317999999999999972e+01 1.068319999999999936e+01 2.991099999999999870e+00
1.427999999999999936e+01 7.617099999999999760e+00 2.234199999999999964e+00
1.538000000000000078e+01 5.403800000000000381e+00 2.022100000000000009e+00
1.646999999999999886e+01 4.410000000000000142e+00 1.680099999999999927e+00
1.757000000000000028e+01 3.413899999999999935e+00 1.249500000000000055e+00
1.867000000000000171e+01 2.706700000000000106e+00 9.052999999999999936e-01
1.976999999999999957e+01 2.139200000000000212e+00 8.016999999999999682e-01
2.087000000000000099e+01 1.849199999999999955e+00 7.682999999999999829e-01
2.196999999999999886e+01 1.230799999999999894e+00 5.679999999999999494e-01
2.307000000000000028e+01 1.224399999999999933e+00 5.154999999999999583e-01
2.416000000000000014e+01 1.153399999999999981e+00 4.531999999999999917e-01
2.526000000000000156e+01 7.158999999999999808e-01 3.836999999999999855e-01
2.635999999999999943e+01 4.294000000000000039e-01 3.528999999999999915e-01
2.746000000000000085e+01 2.499000000000000110e-01 3.271000000000000019e-01
2.855999999999999872e+01 1.688999999999999946e-01 2.688999999999999724e-01
2.966000000000000014e+01 2.567999999999999727e-01 2.671999999999999931e-01
3.076000000000000156e+01 3.937999999999999834e-01 2.945999999999999730e-01
3.185000000000000142e+01 3.487999999999999989e-01 2.746999999999999997e-01
3.295000000000000284e+01 1.338999999999999913e-01 2.107999999999999874e-01
3.404999999999999716e+01 2.788999999999999813e-01 2.053999999999999992e-01
3.514999999999999858e+01 1.139000000000000012e-01 2.096999999999999975e-01
3.625000000000000000e+01 1.118999999999999995e-01 1.905999999999999917e-01
3.735000000000000142e+01 7.259999999999999787e-02 2.081999999999999962e-01
3.845000000000000284e+01 -5.199999999999999761e-03 1.275999999999999912e-01
3.953999999999999915e+01 9.750000000000000333e-02 1.305999999999999939e-01
4.064000000000000057e+01 1.648000000000000020e-01 1.509999999999999953e-01
4.174000000000000199e+01 2.719999999999999848e-02 1.181999999999999995e-01
4.284000000000000341e+01 -4.109999999999999765e-02 9.379999999999999449e-02
4.393999999999999773e+01 -4.089999999999999886e-02 8.949999999999999623e-02
4.503999999999999915e+01 -7.530000000000000582e-02 8.980000000000000482e-02
4.614000000000000057e+01 -2.599999999999999881e-02 7.539999999999999480e-02
4.722999999999999687e+01 -8.930000000000000437e-02 7.560000000000000053e-02
4.832999999999999829e+01 4.499999999999999660e-03 7.749999999999999944e-02
4.942999999999999972e+01 -5.700000000000000205e-02 7.399999999999999634e-02
5.053000000000000114e+01 -5.949999999999999734e-02 6.779999999999999916e-02
5.163000000000000256e+01 -4.270000000000000184e-02 5.820000000000000173e-02
5.272999999999999687e+01 -8.459999999999999465e-02 6.279999999999999472e-02
5.382999999999999829e+01 -5.600000000000000117e-02 5.269999999999999685e-02
5.492000000000000171e+01 -6.579999999999999738e-02 5.260000000000000092e-02
5.602000000000000313e+01 -6.110000000000000153e-02 5.410000000000000225e-02
5.711999999999999744e+01 -2.029999999999999860e-02 5.369999999999999774e-02
5.821999999999999886e+01 -4.059999999999999720e-02 4.789999999999999813e-02
5.932000000000000028e+01 -4.760000000000000342e-02 4.700000000000000011e-02
6.042000000000000171e+01 -4.540000000000000285e-02 4.730000000000000177e-02
6.152000000000000313e+01 -4.859999999999999737e-02 5.340000000000000302e-02
6.260999999999999943e+01 1.000000000000000021e-03 4.900000000000000189e-02
6.371000000000000085e+01 -1.310000000000000053e-02 4.850000000000000144e-02
6.481000000000000227e+01 -2.040000000000000147e-02 4.030000000000000249e-02
6.590999999999999659e+01 -2.869999999999999982e-02 4.279999999999999777e-02
6.701000000000000512e+01 -2.570000000000000062e-02 4.200000000000000261e-02
6.810999999999999943e+01 -2.800000000000000058e-02 3.660000000000000059e-02
6.920999999999999375e+01 -7.499999999999999722e-03 3.599999999999999728e-02
7.031000000000000227e+01 1.230000000000000017e-02 3.950000000000000039e-02
