# ACT PA3 150 GHz Bandpass Data — from Rahul Datta (average over 28 individual detector bandpasses measured for PA3 150 GHz)
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 1-sigma error
#nu(GHz)	fnu	fnu_err	
1.6398e+02 4.3763e-01 1.1849e-01
1.6448e+02 4.1390e-01 1.2548e-01
1.6498e+02 3.4440e-01 1.0328e-01
1.6548e+02 3.1341e-01 8.3616e-02
1.6598e+02 3.0892e-01 8.3822e-02
1.6648e+02 2.7888e-01 8.2961e-02
1.6698e+02 2.4060e-01 6.9607e-02
1.6748e+02 2.2380e-01 7.1374e-02
1.6798e+02 2.2225e-01 8.7307e-02
1.6848e+02 2.0636e-01 7.8486e-02
1.6898e+02 1.7071e-01 6.5707e-02
1.6948e+02 1.5035e-01 7.0492e-02
1.6998e+02 1.5068e-01 7.5497e-02
1.7048e+02 1.3706e-01 6.7341e-02
1.7098e+02 1.0658e-01 6.2398e-02
1.7148e+02 9.5093e-02 6.0179e-02
1.7198e+02 8.9906e-02 4.3389e-02
1.7248e+02 6.9159e-02 3.5871e-02
1.7298e+02 5.2592e-02 3.1142e-02
1.7348e+02 3.8468e-02 2.5231e-02
1.7398e+02 2.7823e-02 3.3280e-02
1.7448e+02 2.5146e-02 2.5481e-02
1.7498e+02 2.1138e-02 1.8730e-02
1.7548e+02 1.9904e-02 2.9290e-02
1.7598e+02 1.7920e-02 2.9082e-02
1.7648e+02 1.5927e-02 2.1880e-02
1.7698e+02 1.8595e-02 3.0913e-02
1.7748e+02 1.5935e-02 2.6272e-02
1.7798e+02 9.1238e-03 1.3437e-02
1.7848e+02 7.8486e-03 1.1762e-02
1.7898e+02 5.3923e-03 1.2611e-02
1.7948e+02 2.2764e-03 1.2776e-02
1.7998e+02 4.8552e-03 1.9873e-02
1.8048e+02 9.8747e-03 2.2238e-02
1.8098e+02 9.6126e-03 2.3085e-02
1.8148e+02 6.6872e-03 2.2432e-02
1.8198e+02 1.1979e-02 2.2525e-02
1.8248e+02 1.4635e-02 1.8184e-02
1.8298e+02 1.0748e-02 1.7406e-02
1.8348e+02 7.4676e-03 1.5134e-02
1.8398e+02 1.0742e-02 1.8863e-02
1.8448e+02 1.5236e-02 2.6596e-02
1.8498e+02 1.2040e-02 2.3799e-02
1.8548e+02 1.0705e-02 2.0895e-02
1.8598e+02 1.1644e-02 1.8048e-02
1.8648e+02 1.1202e-02 1.2386e-02
1.8698e+02 1.1378e-02 1.8577e-02
1.8748e+02 8.1342e-03 1.4898e-02
1.8798e+02 8.1926e-03 2.1285e-02
1.8848e+02 1.0690e-02 1.6919e-02
1.8898e+02 7.5917e-03 1.1415e-02
1.8948e+02 6.4366e-03 1.6647e-02
1.8998e+02 1.0388e-02 1.8111e-02
1.9048e+02 1.0252e-02 1.2714e-02
1.9098e+02 8.0990e-03 1.0422e-02
1.9148e+02 8.1774e-03 1.0870e-02
1.9198e+02 1.2336e-02 1.4319e-02
1.9248e+02 1.0723e-02 1.3165e-02
1.9298e+02 8.7082e-03 1.3374e-02
1.9348e+02 8.8871e-03 1.3568e-02
1.9398e+02 7.0031e-03 1.5629e-02
1.9448e+02 9.7241e-03 1.3311e-02
1.9498e+02 8.8482e-03 1.4534e-02
1.9548e+02 6.1481e-03 1.2293e-02
1.9598e+02 7.2597e-03 1.1936e-02
1.9648e+02 7.6982e-03 1.1657e-02
1.9698e+02 6.9033e-03 1.2819e-02
1.9748e+02 7.1640e-03 1.1146e-02
1.9798e+02 6.2759e-03 1.3660e-02
1.9848e+02 8.2178e-03 1.3564e-02
1.9898e+02 1.4854e-02 2.0575e-02
1.9948e+02 1.5634e-02 1.9316e-02
1.9998e+02 8.4548e-03 1.1810e-02
2.0048e+02 5.1062e-03 8.4326e-03
2.0098e+02 8.0103e-03 1.0425e-02
2.0148e+02 9.4935e-03 1.4676e-02
2.0198e+02 9.0370e-03 1.6696e-02
2.0248e+02 5.2913e-03 1.2189e-02
2.0298e+02 8.4898e-03 1.5248e-02
2.0348e+02 1.3703e-02 1.6388e-02
2.0398e+02 1.3207e-02 1.4899e-02
2.0448e+02 8.7192e-03 1.4359e-02
2.0498e+02 7.2460e-03 1.1296e-02
2.0548e+02 8.8490e-03 1.5026e-02
2.0598e+02 8.7194e-03 1.1207e-02
2.0648e+02 6.1075e-03 7.7775e-03
2.0698e+02 8.8521e-03 1.3279e-02
2.0748e+02 1.1520e-02 1.3512e-02
2.0798e+02 8.3166e-03 2.2811e-02
2.0848e+02 6.7404e-03 2.2329e-02
2.0898e+02 8.2520e-03 1.4690e-02
2.0948e+02 1.0961e-02 1.2810e-02
2.0998e+02 1.0676e-02 1.6826e-02
2.1048e+02 8.1751e-03 1.1196e-02
2.1098e+02 9.1813e-03 1.0793e-02
2.1148e+02 1.0816e-02 1.5927e-02
2.1198e+02 9.7586e-03 1.3300e-02
2.1248e+02 6.9505e-03 1.2993e-02
2.1298e+02 9.8927e-03 1.4736e-02
2.1348e+02 1.0626e-02 1.5004e-02
2.1398e+02 8.2660e-03 1.8203e-02
2.1448e+02 1.2569e-02 1.8460e-02
2.1498e+02 1.3981e-02 2.1963e-02
2.1548e+02 1.3128e-02 1.9818e-02
2.1598e+02 8.3656e-03 1.3443e-02
2.1648e+02 6.6816e-03 1.2288e-02
2.1698e+02 7.7047e-03 1.2470e-02
2.1748e+02 9.1842e-03 1.1605e-02
2.1798e+02 1.4614e-02 1.9427e-02
2.1848e+02 1.7132e-02 2.5297e-02
2.1898e+02 1.3218e-02 2.6731e-02
2.1948e+02 9.3197e-03 1.8532e-02
2.1998e+02 1.2163e-02 1.9052e-02
2.2048e+02 1.2576e-02 2.0978e-02
2.2098e+02 8.2304e-03 1.9186e-02
2.2148e+02 5.6061e-03 1.1375e-02
2.2198e+02 9.8007e-03 1.6061e-02
2.2248e+02 7.0817e-03 1.3817e-02
2.2298e+02 9.2950e-03 1.7174e-02
2.2348e+02 7.5299e-03 1.9369e-02
2.2398e+02 6.6328e-03 1.4484e-02
2.2448e+02 7.1459e-03 1.0270e-02
2.2498e+02 7.4600e-03 1.4471e-02
2.2548e+02 6.4274e-03 1.2803e-02
2.2598e+02 7.8639e-03 1.4888e-02
2.2648e+02 5.7342e-03 1.2691e-02
2.2698e+02 9.0446e-03 2.0662e-02
2.2748e+02 1.2992e-02 2.5787e-02
2.2798e+02 8.3970e-03 1.6170e-02
2.2848e+02 5.6757e-03 7.4007e-03
2.2898e+02 6.1368e-03 1.0589e-02
2.2948e+02 6.6358e-03 1.0433e-02
2.2998e+02 5.1305e-03 7.9467e-03
2.3048e+02 2.7779e-03 1.1895e-02
2.3098e+02 3.5257e-03 8.6723e-03
2.3148e+02 5.8303e-03 7.8909e-03
2.3198e+02 5.3363e-03 1.1271e-02
2.3248e+02 1.1247e-02 1.8812e-02
2.3298e+02 1.5221e-02 2.5558e-02
2.3348e+02 7.0116e-03 1.2914e-02
2.3398e+02 4.0890e-03 9.6305e-03
2.3447e+02 5.0754e-03 1.0236e-02
2.3497e+02 3.3745e-03 1.1291e-02
2.3547e+02 1.3930e-03 8.6983e-03
2.3597e+02 4.0650e-03 8.2567e-03
2.3647e+02 6.5075e-03 1.0150e-02
2.3697e+02 6.1043e-03 1.1600e-02
2.3747e+02 2.8302e-03 7.0282e-03
2.3797e+02 2.0795e-03 7.5674e-03
2.3847e+02 5.2897e-03 7.5341e-03
2.3897e+02 6.6377e-03 1.3092e-02
2.3947e+02 4.8774e-03 1.1317e-02
2.3997e+02 5.5795e-03 7.9063e-03
2.4047e+02 7.1019e-03 1.0878e-02
2.4097e+02 4.4281e-03 7.5130e-03
2.4147e+02 3.2101e-03 3.7590e-03
2.4197e+02 4.4073e-03 9.0317e-03
2.4247e+02 5.1346e-03 8.7403e-03
2.4297e+02 5.5412e-03 1.4139e-02
2.4347e+02 3.8771e-03 7.9150e-03
2.4397e+02 3.4069e-03 7.5561e-03
2.4447e+02 6.8029e-03 7.1706e-03
2.4497e+02 6.3668e-03 8.8265e-03
2.4547e+02 5.2238e-03 1.0087e-02
2.4597e+02 4.8797e-03 7.6629e-03
2.4647e+02 3.1881e-03 7.0754e-03
2.4697e+02 4.5659e-03 9.8439e-03
2.4747e+02 5.9691e-03 9.9354e-03
2.4797e+02 6.5571e-03 1.0800e-02
2.4847e+02 1.0429e-02 1.2883e-02
2.4897e+02 8.2234e-03 1.4460e-02
2.4947e+02 2.9638e-03 7.5651e-03
2.4997e+02 1.5199e-03 1.0752e-02
2.5047e+02 4.4249e-03 9.5596e-03
2.5097e+02 9.3278e-03 1.2042e-02
2.5147e+02 7.8313e-03 9.0722e-03
2.5197e+02 5.2805e-03 7.7208e-03
2.5247e+02 4.9749e-03 9.1281e-03
2.5297e+02 7.2604e-03 1.0390e-02
2.5347e+02 6.1102e-03 7.5021e-03
2.5397e+02 3.5560e-03 7.5267e-03
2.5447e+02 5.1640e-03 7.6379e-03
2.5497e+02 6.0559e-03 8.0888e-03
2.5547e+02 3.1184e-03 7.5952e-03
