# ACT PA2 Bandpass Data — from Rahul Datta (average over 75 individual detector bandpasses measured for PA2)
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 1-sigma error
#nu(GHz)	fnu	fnu_err	
1.6448e+02 6.6438e-01 8.4216e-02
1.6498e+02 5.9844e-01 7.5857e-02
1.6548e+02 5.8874e-01 7.2130e-02
1.6598e+02 6.3452e-01 8.4950e-02
1.6648e+02 6.1313e-01 8.6670e-02
1.6698e+02 5.2826e-01 7.8944e-02
1.6748e+02 5.0398e-01 8.3154e-02
1.6798e+02 5.3609e-01 9.4802e-02
1.6848e+02 5.1052e-01 1.0015e-01
1.6898e+02 4.4662e-01 9.4930e-02
1.6948e+02 4.4562e-01 9.9410e-02
1.6998e+02 4.8363e-01 1.2025e-01
1.7048e+02 4.6360e-01 1.2388e-01
1.7098e+02 4.0260e-01 1.1029e-01
1.7148e+02 3.9659e-01 1.1641e-01
1.7198e+02 4.1611e-01 1.3099e-01
1.7248e+02 3.6254e-01 1.2462e-01
1.7298e+02 2.8501e-01 1.0239e-01
1.7348e+02 2.6064e-01 9.4629e-02
1.7398e+02 2.5247e-01 9.9877e-02
1.7448e+02 2.1960e-01 9.3523e-02
1.7498e+02 1.8321e-01 8.1008e-02
1.7548e+02 1.7516e-01 7.9850e-02
1.7598e+02 1.7828e-01 7.4208e-02
1.7648e+02 1.5222e-01 6.6236e-02
1.7698e+02 1.1984e-01 5.8310e-02
1.7748e+02 1.1398e-01 5.7384e-02
1.7798e+02 1.0149e-01 5.2839e-02
1.7848e+02 7.4148e-02 3.8153e-02
1.7898e+02 5.5872e-02 2.9002e-02
1.7948e+02 4.7954e-02 3.2041e-02
1.7998e+02 4.2400e-02 3.4133e-02
1.8048e+02 3.3832e-02 2.5103e-02
1.8098e+02 2.3142e-02 1.5702e-02
1.8148e+02 1.9121e-02 1.4410e-02
1.8198e+02 2.0690e-02 1.7122e-02
1.8248e+02 1.9457e-02 1.3058e-02
1.8298e+02 1.6313e-02 1.3300e-02
1.8348e+02 1.3803e-02 1.6619e-02
1.8398e+02 1.1863e-02 1.6412e-02
1.8448e+02 8.4496e-03 1.0612e-02
1.8498e+02 6.7399e-03 1.2566e-02
1.8548e+02 8.4942e-03 1.5982e-02
1.8598e+02 8.9226e-03 1.5037e-02
1.8648e+02 7.3704e-03 1.4947e-02
1.8698e+02 8.1077e-03 2.0064e-02
1.8748e+02 7.5621e-03 1.6354e-02
1.8798e+02 6.1251e-03 1.4750e-02
1.8848e+02 9.7979e-03 1.4028e-02
1.8898e+02 8.6460e-03 1.5114e-02
1.8948e+02 5.5696e-03 1.8869e-02
1.8998e+02 5.8583e-03 1.5382e-02
1.9048e+02 6.5481e-03 1.1296e-02
1.9098e+02 6.7331e-03 9.9496e-03
1.9148e+02 6.2186e-03 1.0040e-02
1.9198e+02 7.8530e-03 1.1551e-02
1.9248e+02 8.5180e-03 1.4444e-02
1.9298e+02 8.6674e-03 1.5008e-02
1.9348e+02 1.0159e-02 1.4001e-02
1.9398e+02 1.1435e-02 1.3643e-02
1.9448e+02 7.9907e-03 1.3494e-02
1.9498e+02 4.2651e-03 1.0253e-02
1.9548e+02 5.2883e-03 1.1431e-02
1.9598e+02 9.0284e-03 1.3320e-02
1.9648e+02 9.5769e-03 1.1999e-02
1.9698e+02 6.2475e-03 8.9272e-03
1.9748e+02 6.5043e-03 1.1196e-02
1.9798e+02 7.1113e-03 1.0000e-02
1.9848e+02 7.6942e-03 1.0033e-02
1.9898e+02 1.1179e-02 1.3827e-02
1.9948e+02 1.2480e-02 1.5926e-02
1.9998e+02 1.0370e-02 1.5046e-02
2.0048e+02 8.3842e-03 1.2825e-02
2.0098e+02 6.8513e-03 1.1324e-02
2.0148e+02 5.7666e-03 1.1055e-02
2.0198e+02 8.4521e-03 1.1199e-02
2.0248e+02 5.4031e-03 7.8494e-03
2.0298e+02 5.6941e-03 8.4101e-03
2.0348e+02 1.0565e-02 1.3647e-02
2.0398e+02 9.6911e-03 1.4299e-02
2.0448e+02 1.1384e-02 1.2192e-02
2.0498e+02 1.2132e-02 1.5503e-02
2.0548e+02 8.8300e-03 1.2467e-02
2.0598e+02 9.3742e-03 1.4021e-02
2.0648e+02 9.5757e-03 1.1860e-02
2.0698e+02 9.5683e-03 1.3156e-02
2.0748e+02 1.1453e-02 1.7763e-02
2.0798e+02 1.0171e-02 1.8047e-02
2.0848e+02 7.8811e-03 1.4042e-02
2.0898e+02 7.7936e-03 1.0573e-02
2.0948e+02 6.7316e-03 1.4822e-02
2.0998e+02 7.2613e-03 1.2276e-02
2.1048e+02 6.9665e-03 1.3623e-02
2.1098e+02 1.0126e-02 1.0656e-02
2.1148e+02 1.0187e-02 1.0955e-02
2.1198e+02 7.2536e-03 7.6820e-03
2.1248e+02 7.0274e-03 8.9079e-03
2.1298e+02 8.2184e-03 1.1683e-02
2.1348e+02 9.9343e-03 1.3794e-02
2.1398e+02 9.0281e-03 1.6220e-02
2.1448e+02 5.0437e-03 1.0511e-02
2.1498e+02 5.1953e-03 1.1120e-02
2.1548e+02 7.4920e-03 1.4821e-02
2.1598e+02 7.3862e-03 1.3419e-02
2.1648e+02 9.1836e-03 9.9670e-03
2.1698e+02 7.8659e-03 9.5193e-03
2.1748e+02 7.1396e-03 7.7533e-03
2.1798e+02 6.5772e-03 9.9972e-03
2.1848e+02 5.1172e-03 7.7162e-03
2.1898e+02 4.9526e-03 6.9568e-03
2.1948e+02 6.5622e-03 8.4021e-03
2.1998e+02 5.8560e-03 8.5849e-03
2.2048e+02 5.8463e-03 9.4122e-03
2.2098e+02 8.5371e-03 1.1999e-02
2.2148e+02 6.9871e-03 1.2465e-02
2.2198e+02 5.5527e-03 7.9980e-03
2.2248e+02 5.8942e-03 6.3453e-03
2.2298e+02 6.0655e-03 7.9489e-03
2.2348e+02 6.4561e-03 8.2292e-03
2.2398e+02 5.3203e-03 7.6667e-03
2.2448e+02 4.2858e-03 7.0677e-03
2.2498e+02 5.9584e-03 1.0408e-02
2.2548e+02 8.9102e-03 1.3320e-02
2.2598e+02 8.6109e-03 1.5179e-02
2.2648e+02 7.9206e-03 1.1798e-02
2.2698e+02 8.8055e-03 1.4986e-02
2.2748e+02 7.9543e-03 1.4803e-02
2.2798e+02 4.6875e-03 7.6469e-03
2.2848e+02 5.6045e-03 1.0131e-02
2.2898e+02 7.2503e-03 1.0839e-02
2.2948e+02 4.3184e-03 1.2068e-02
2.2998e+02 4.8336e-03 9.4914e-03
2.3048e+02 5.7923e-03 8.1367e-03
2.3098e+02 7.5474e-03 1.1492e-02
2.3148e+02 8.3894e-03 1.2439e-02
2.3198e+02 5.4574e-03 7.5142e-03
2.3248e+02 4.9740e-03 7.3989e-03
2.3298e+02 6.9380e-03 1.2128e-02
2.3348e+02 7.3192e-03 1.1515e-02
2.3398e+02 7.2716e-03 1.1440e-02
2.3447e+02 7.0936e-03 1.1920e-02
2.3497e+02 5.4011e-03 9.5513e-03
2.3547e+02 4.2487e-03 1.0859e-02
2.3597e+02 2.5672e-03 7.6405e-03
2.3647e+02 5.8101e-03 9.9232e-03
2.3697e+02 6.2087e-03 1.0238e-02
2.3747e+02 5.8599e-03 9.0876e-03
2.3797e+02 5.5785e-03 8.2710e-03
2.3847e+02 5.3214e-03 7.2385e-03
2.3897e+02 7.2969e-03 1.2981e-02
2.3947e+02 7.5245e-03 1.1871e-02
2.3997e+02 5.8153e-03 6.1496e-03
2.4047e+02 7.3903e-03 9.6783e-03
2.4097e+02 6.9424e-03 9.6615e-03
2.4147e+02 5.1118e-03 7.3249e-03
2.4197e+02 5.9006e-03 8.4726e-03
2.4247e+02 4.9538e-03 8.1954e-03
2.4297e+02 5.8395e-03 8.7836e-03
2.4347e+02 6.5725e-03 1.2194e-02
2.4397e+02 4.9110e-03 7.6304e-03
2.4447e+02 7.7669e-03 1.1785e-02
2.4497e+02 8.0187e-03 1.3431e-02
2.4547e+02 5.1943e-03 1.0924e-02
2.4597e+02 4.6351e-03 8.6122e-03
2.4647e+02 4.2596e-03 6.6753e-03
2.4697e+02 4.6630e-03 8.7216e-03
2.4747e+02 5.3151e-03 7.5897e-03
2.4797e+02 4.3298e-03 7.8290e-03
2.4847e+02 3.6829e-03 1.0136e-02
2.4897e+02 3.6682e-03 9.3399e-03
2.4947e+02 5.0824e-03 6.8333e-03
2.4997e+02 4.6078e-03 6.8360e-03
2.5047e+02 4.6933e-03 8.8799e-03
2.5097e+02 6.6588e-03 1.2638e-02
2.5147e+02 7.0811e-03 1.1780e-02
2.5197e+02 5.3074e-03 6.8315e-03
2.5247e+02 5.1685e-03 8.3571e-03
2.5297e+02 5.5841e-03 7.8599e-03
2.5347e+02 5.8320e-03 7.7425e-03
2.5397e+02 6.3712e-03 9.6641e-03
2.5447e+02 5.6041e-03 8.3370e-03
2.5497e+02 4.0344e-03 8.7245e-03
2.5547e+02 4.5778e-03 9.0594e-03
